year;title;studios;producers;winner;imageUrl
2000;Battlefield Earth;Warner Bros., Franchise Pictures;Jonathan D. Krane, Elie Samaha and John Travolta;yes;https://upload.wikimedia.org/wikipedia/en/2/21/Battlefield_earth_poster.jpg
2000;Book of Shadows: Blair Witch 2;Artisan Entertainment;Bill Carraro;;https://upload.wikimedia.org/wikipedia/en/0/07/Book_of_shadows_blair_witch_two_poster.jpg
2000;The Flintstones in Viva Rock Vegas;Universal Studios;Bruce Cohen;;https://upload.wikimedia.org/wikipedia/en/d/d1/Flintstonesmov.jpg
2000;Little Nicky;New Line Cinema;Jack Giarraputo and Robert Simonds;;https://upload.wikimedia.org/wikipedia/en/5/53/Little_nicky.jpg
2000;The Next Best Thing;Paramount Pictures;Leslie Dixon, Linne Radmin and Tom Rosenberg;;https://upload.wikimedia.org/wikipedia/en/0/01/The_Next_Best_Thing.jpg
2001;Freddy Got Fingered;20th Century Fox;Larry Brezner, Howard Lapides and Lauren Lloyd;yes;https://upload.wikimedia.org/wikipedia/en/a/a3/Freddy_Got_Fingered_%28movie_poster%29.jpg
2001;Driven;Warner Bros., Franchise Pictures;Renny Harlin, Elie Samaha and Sylvester Stallone;;https://upload.wikimedia.org/wikipedia/en/b/b1/Driven_%282001_film%29_poster.jpg
2001;Glitter;20th Century Fox, Columbia Pictures;Laurence Mark and E. Bennett Walsh;;https://upload.wikimedia.org/wikipedia/en/a/ae/Glitter_Movie_Poster.png
2001;Pearl Harbor;Touchstone Pictures;Michael Bay and Jerry Bruckheimer;;https://upload.wikimedia.org/wikipedia/en/3/3c/Pearl_harbor_movie_poster.jpg
2001;3000 Miles to Graceland;Warner Bros., Franchise Pictures;Demian Lichtenstein, Eric Manes, Elie Samaha, Richard Spero and Andrew Stevens;;https://upload.wikimedia.org/wikipedia/en/9/90/3000graceland.jpg
2002;Swept Away;Screen Gems;Matthew Vaughn;yes;https://upload.wikimedia.org/wikipedia/en/4/4e/Swept_Away.png
2002;The Adventures of Pluto Nash;Warner Bros.;Martin Bregman, Michael Scott Bregman and Louis A. Stroller;;https://upload.wikimedia.org/wikipedia/en/3/3f/Pluto_Nash.jpg
2002;Crossroads;Paramount Pictures;Ann Carli;;https://upload.wikimedia.org/wikipedia/en/2/22/Crossroads_poster.JPG
2002;Pinocchio;Miramax Films;Gianluigi Braschi, Nicoletta Braschi and Elda Ferri;;https://upload.wikimedia.org/wikipedia/en/3/3d/Pinocchio_%282002_film_poster%29.jpg
2002;Star Wars: Episode II – Attack of the Clones;20th Century Fox;Rick McCallum and George Lucas;;https://upload.wikimedia.org/wikipedia/en/3/32/Star_Wars_-_Episode_II_Attack_of_the_Clones_%28movie_poster%29.jpg
2003;Gigli;Columbia Pictures, Revolution Studios;Martin Brest and Casey Silver;yes;https://upload.wikimedia.org/wikipedia/en/d/df/Gigliposter.jpg
2003;The Cat in the Hat;Universal Studios, DreamWorks;Brian Grazer;;https://upload.wikimedia.org/wikipedia/en/d/db/Cat_in_the_hat.jpg
2003;Charlie's Angels: Full Throttle;Columbia Pictures;Drew Barrymore, Leonard Goldberg and Nancy Juvonen;;https://upload.wikimedia.org/wikipedia/en/c/cb/Charlie%27s_Angels_Full_Throttle_movie.jpg
2003;From Justin to Kelly;20th Century Fox;John Steven Agoglia;;https://upload.wikimedia.org/wikipedia/en/c/cb/From-justin-to-kelly.jpg
